GeoUID_2001,Area (sq km)_2001,Population_2001,Dwellings_2001,Households_2001,Total male population_2001,Total female population_2001,Population change (%)_2001,Never married_2001,Divorced_2001,Widowed_2001,Movers_2001,Non-movers_2001,Canadian citizens_2001,Migrants_2001,Non-migrants_2001,Internal migrants_2001,External migrants_2001,Visible minority_2001,Non-visible minority_2001,Non-Canadian citizens_2001,Non-immigrants_2001,Immigrants_2001,Non-permanent residents_2001,Married couples_2001,Common-law couples_2001,Owned housing_2001,Rented housing_2001,Median household income $_2001,High school or Secondary degree_2001,College or CEGEP degree_2001,"Trades certificate, diploma or apprenticeship_2001",Apartment with fewer than five stories_2001,Apartment with five or more storeys_2001,Row house_2001,Single-detached house_2001,Semi-detached house_2001,Movable dwelling_2001,Other single-attached house_2001,Major repairs_2001,Band housing_2001,English only_2001,French only_2001,Allophone _2001,Average gross rent ($)_2001,Average value dwelling ($)_2001,English and French_2001,English and non-official language(s)_2001,French and non-official language(s)_2001,"English, French, and non-official language(s)_2001",Employed_2001,Unemployed_2001,Population 0 to 9_2001,Population 10 to 19_2001,Population 20 to 29_2001,Population 30 to 39_2001,Population 40 to 49_2001,Population 50 to 59_2001,Population 60 plus_2001,No certificate or diploma_2001,Regular maintenance_2001,Public transit_2001,Walked_2001,Bicycle_2001,Transportation other methods_2001,Transportation vehicle driver_2001,Transportation vehicle non-driver_2001,Bachelors degree or higher_2001
4620011.0,1.2497,4652,1981,1925,2130,2525,-5.7,1820,415,500,760,3095,3620,225,540,150,75,600,3265,250,3170,680,25,590,260,720,1210,35561,560,410,295,1460,90,65,305,5,0,0,70,0,145,2930,755,506,140496,15,0,25,0,1720,155,8060100100,105907580,105120100100,110125160150,205185205185,155170160175,130170135175135190852054512045130,465200175,1420430,300350,7575,00,0010000,480310,1045,420
4620012.01,0.236,2637,1329,1320,1170,1470,0.8,1000,285,200,480,2125,2465,125,355,100,30,325,2315,165,2225,390,20,345,145,130,1190,31119,375,255,225,1270,0,0,5,0,0,15,90,0,135,2090,390,541,137745,0,0,10,0,1165,105,65657565,65556565,10513095110,958085115,909575105,601207585,559055755010040701535015,35512090,1035195,205360,1575,100,0000100,325135,030,225
4620012.02,0.3967,4206,2113,2080,1950,2260,1.6,1565,450,375,725,3280,3525,330,395,270,60,870,3180,520,2915,1025,110,560,235,195,1890,28309,500,525,320,1890,175,5,5,0,0,0,70,0,140,2750,1065,511,185884,45,10,30,0,1845,345,1159010080,7585105105,190205180140,140140160150,160150145160,12013095150,80120801209012555105301001595,490265260,1490520,390485,90120,1010,100100100,415210,4525,315
4620013.0,1.0834,4355,2395,2315,2000,2355,-2.6,1735,500,375,700,3595,4220,160,540,140,20,255,4070,110,3995,320,10,560,290,865,1450,30547,685,540,315,1890,0,55,80,45,0,20,235,0,100,3820,340,528,118794,10,0,0,45,2045,205,75707080,907580115,115145135160,155135185145,200180180180,155195140165,13015085145951706511030702565,530210245,1460625,275480,4070,400,000000,585385,3560,355
4620014.01,0.9061,5876,3120,3050,2965,2915,11.8,2800,615,350,1230,4495,5405,420,805,385,40,865,4925,390,4770,935,90,570,430,690,2350,28813,720,765,375,2610,75,145,140,15,0,0,240,0,145,4645,890,479,119698,25,0,85,0,2965,375,135120140115,120140140165,305315275220,255200315210,290210255240,195205160155,90125115155901254511520701040,605300280,2015795,630810,115105,2510,0100000,715345,2545,830
4620014.02,0.8819,0,9,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxxxxxxxxxx,xxx,xx,xx,xx,xx,xxxxxx,xx,xx,x
4620015.0,0.3754,3421,1784,1710,1660,1760,8,1745,365,145,970,2330,3285,270,700,250,20,205,3140,65,3145,185,10,255,240,190,1520,21266,380,390,235,1440,100,0,0,0,0,20,305,0,25,3075,205,495,116531,20,0,25,0,1435,200,958010080,9585110120,165200145165,150115155140,155160145135,110956080,60704575455025651035520,445215100,940465,290310,3070,200,000000,315260,3535,270
4620016.0,0.5188,2737,1230,1180,1375,1360,9.3,1405,270,225,810,1565,2255,190,625,145,45,275,2145,170,2095,275,50,195,200,200,970,32143,205,405,140,1145,10,0,0,5,0,0,145,0,140,1955,295,481,111167,25,0,0,0,1110,195,65707070,60505570,135125140120,13095140100,120105115100,85705550,554045654550355015402595,335180130,660365,215265,3015,2015,000000,310120,3520,225
4620017.0,0.2233,2022,1015,995,1030,990,1.6,985,185,130,420,1585,1970,170,245,150,20,125,1890,45,1890,110,15,140,165,150,855,24464,260,215,150,930,0,0,0,5,0,50,105,0,125,1725,100,535,103265,45,10,20,0,895,135,70407045,60554565,951008580,1007510080,100658080,65553555,35503040254515401015510,2559050,575325,200180,3065,2515,000000,20095,2520,220
4620018.0,0.3673,2158,1169,1150,1150,1005,9.4,1170,255,110,560,1555,2120,165,395,160,0,135,2000,15,2025,110,0,125,185,120,1030,20832,230,205,205,1070,65,0,5,0,0,0,180,0,70,1910,120,465,125655,25,0,15,0,915,170,60504050,45456055,14014512080,906012595,1058510095,95555555,3530353035352030510510,33013550,565410,190165,5545,00,0100000,210160,2515,235
4620019.0,0.3367,2329,1252,1215,1185,1145,11.7,1145,230,175,705,1580,2270,175,530,145,30,230,2095,55,2170,130,20,170,165,180,1035,20491,195,290,160,880,140,15,5,0,0,20,165,0,25,2190,110,548,110971,10,0,0,0,970,130,70706555,70455060,13511011090,1008511070,100758070,75756080,40555565304520451525025,28512075,740310,155215,4050,2015,000000,27065,015,270
4620021.0,0.44,3220,1637,1565,1670,1550,7.3,1680,350,155,685,2490,3110,185,500,175,15,355,2845,90,2860,315,20,195,220,125,1435,18579,240,305,165,1385,165,0,5,0,0,5,190,0,65,2765,325,470,125398,30,0,10,0,1170,230,809510585,858010585,185195160125,145110145120,135125125100,105808575,707050704050304515251015,52516585,1010365,230275,3060,3015,000000,265115,4045,260
4620022.0,0.1697,1752,838,815,885,865,13.8,885,180,80,280,1435,1715,55,225,50,10,20,1720,30,1690,45,10,120,130,90,730,23376,175,110,150,805,0,0,5,0,0,5,105,0,25,1655,15,557,90865,50,0,0,10,565,195,50604570,60455045,100857075,85658570,65756555,65405540,3020152520351520520510,2056080,450260,120155,1015,00,0010000,140120,00,135
4620023.0,0.3575,1135,582,575,565,575,3.9,635,95,45,255,860,1070,50,205,20,30,95,1020,50,1005,110,0,70,115,40,535,26882,125,150,90,560,5,5,0,0,0,0,65,0,10,1065,40,503,94150,10,0,0,0,580,70,45302040,20302535,70756560,50405030,40554550,40253035,202015201515550005,9013030,320190,120160,1535,010,000000,12065,350,90
4620024.0,0.2739,2621,1368,1330,1305,1310,6.4,1395,260,160,630,1935,2535,140,485,130,10,130,2475,70,2415,175,10,175,190,130,1205,18933,260,300,160,1225,75,5,5,0,0,10,160,0,35,2425,115,529,92597,20,0,15,0,1150,160,65707050,50657560,175160135135,1059013090,1101008095,85757065,45603570355530451025515,42515540,765410,240205,8090,7010,000000,285115,1030,235
4620025.0,0.2247,2919,1344,1310,1430,1490,13.3,1425,275,205,590,2145,2680,170,425,130,35,115,2625,65,2520,205,15,195,220,210,1100,27525,360,260,255,1245,0,5,10,0,0,30,120,0,65,2545,125,489,132368,10,0,0,0,1200,175,751058575,85706590,155155125125,11085145115,115120125110,95705050,506050504550253515551560,32020530,720475,195235,75115,1015,00200010,370100,1530,155
4620026.0,0.1729,1981,1120,1075,990,990,2,1005,210,165,375,1600,1895,110,265,100,10,175,1805,80,1765,195,10,140,150,115,965,20116,240,220,140,995,55,0,0,0,0,5,175,0,60,1685,200,504,130497,30,0,0,0,890,85,40455035,40406555,10012010070,80709075,85807070,75605535,4040406525552535525515,29011580,645265,140190,70105,100,000000,23060,4025,95
4620027.0,0.0949,1807,967,920,915,895,6,920,180,125,320,1480,1755,80,235,70,15,135,1670,50,1620,185,0,130,135,70,845,21962,215,205,95,910,0,5,0,5,0,0,125,0,35,1640,115,516,111237,0,0,10,0,785,195,55454550,35404545,9010595100,85708070,105507550,50454550,2530304530552025101505,23514560,475305,190170,1555,010,1000000,15085,2025,200
4620028.0,0.155,2158,1182,1165,1110,1050,5.2,1215,205,125,555,1570,2125,185,370,165,20,95,2055,25,2035,115,0,155,205,150,1020,30535,275,325,185,1125,15,20,0,0,0,0,150,0,45,1995,90,484,94841,20,0,0,0,1220,100,35355035,40354555,155145135100,1107011090,110908080,60706050,2050355035351525520015,23016570,590425,240305,8070,2025,000000,255100,4030,185
4620029.0,0.3976,3807,2010,1960,1875,1930,8,2050,370,280,930,2655,3565,225,705,195,30,200,3440,70,3445,185,10,255,300,320,1645,25540,395,450,305,1815,35,0,0,0,0,10,195,0,35,3450,120,515,101361,10,0,25,0,1870,185,70759075,807595100,235290200165,165115180125,150140160120,1151208090,758065754090357025551580,465255110,1140635,475460,6065,2520,000000,450185,2045,420
4620030.0,0.2993,3360,1814,1770,1700,1660,5.8,1695,275,240,935,2235,2870,365,570,230,135,575,2615,325,2505,640,45,345,220,285,1480,26720,405,515,200,1635,5,25,5,15,0,15,225,0,25,2530,605,574,138256,10,10,25,0,1570,230,55656055,50509085,225215195170,165135160115,14011013595,100757075,554570855075457525702070,250265150,990555,380435,6075,100,000000,305175,2530,495
4620031.0,0.2523,2782,1550,1520,1465,1320,9.5,1525,270,140,735,2010,2500,330,400,225,105,500,2260,260,2060,660,45,270,215,305,1220,26133,360,455,185,1210,130,100,0,65,0,10,230,0,95,2000,630,490,129131,10,10,10,0,1455,205,35454035,35356580,185200195130,1359513585,160100110100,95808585,506045454050305010251020,270200190,895400,320430,5050,1020,1000000,360115,2015,515
4620032.0,0.127,1457,965,875,770,685,3.5,850,125,60,470,970,1340,135,335,125,10,110,1340,120,1155,285,20,95,135,135,735,24749,150,205,125,730,50,5,20,0,0,0,135,0,155,995,285,495,109528,15,0,0,0,860,100,25302030,25151545,1301059575,90509060,70507030,30503525,253015251515103051055,11515055,400340,210190,5515,3510,000000,155145,1010,235
4620033.0,0.1575,1893,992,950,1005,885,6.4,1020,135,90,525,1350,1805,165,355,155,10,285,1610,85,1580,295,25,190,105,160,790,25522,210,260,115,890,0,50,0,5,0,10,95,0,15,1495,340,536,106228,15,0,15,10,880,100,40455050,40354565,1401159085,956510065,85608060,70455535,2535402530402035510015,25512565,580280,165160,4075,150,01010000,195105,2025,160
4620034.0,0.2168,2529,1253,1200,1330,1200,9.3,1205,220,130,500,1975,2385,100,405,70,30,740,1780,135,1840,655,25,260,135,275,925,22625,230,250,200,965,0,135,5,10,0,5,135,0,20,1690,785,454,96717,0,0,15,0,1240,180,50558065,60657575,13013014095,1057510090,14010510095,100806565,454555453050303010201010,35518550,785280,320285,5045,1510,01000100,285125,010,225
4620035.0,0.182,2092,1187,1150,1085,1005,4.9,1310,150,80,570,1500,1965,155,415,135,20,180,1910,120,1835,240,15,130,200,135,1015,29164,160,440,180,1140,0,0,5,0,0,0,145,0,65,1805,190,479,129425,25,10,0,0,1180,120,50554530,30353035,130165185145,14010511085,95656565,55555040,3530203025251015010015,210145110,645355,250225,8045,4520,000000,195125,2050,360
4620036.0,0.1852,1929,1108,1080,1065,865,12.3,1160,170,50,590,1285,1835,170,420,145,25,240,1650,65,1655,235,10,125,145,115,965,22453,185,275,100,880,70,100,0,0,0,20,115,0,30,1600,215,454,115570,35,0,15,0,965,170,50402540,30404040,130155160130,1158010565,125559560,60603030,352020202515151551055,235145110,615350,185240,5030,5025,0010000,23090,2010,325
4620037.0,0.5078,2848,1738,1685,1475,1375,0.4,1310,335,360,485,2330,2685,90,395,75,15,615,2235,160,2290,555,0,250,160,105,1580,20564,470,265,155,820,850,10,5,0,0,0,150,0,145,2215,445,518,95309,35,0,0,0,1115,145,40354030,45306060,17013511570,906512055,1207513095,11010012085,857075755513060110351001055,415100150,1225310,245240,110145,1510,000000,21050,1510,285
4620038.0,0.2152,1858,984,940,955,905,-0.4,1020,170,100,325,1525,1830,90,240,80,0,265,1590,30,1645,215,0,100,85,125,820,18808,200,150,115,705,180,60,5,0,0,0,100,0,35,1560,240,445,90560,10,10,10,0,690,80,55505045,60557080,115959570,80658585,85608050,40504030,254525452535153051555,165140100,585255,195110,4560,250,0100000,12570,00,110
4620039.0,0.4719,1483,726,690,755,730,4.9,950,145,140,425,765,1130,130,300,115,15,155,1050,70,1025,125,55,55,105,55,635,21424,105,300,85,680,5,0,0,0,0,10,65,0,40,1020,125,518,119724,10,0,10,0,695,65,10152010,5102520,1109011565,80456530,65356535,45405030,253525302050105010551085,10511055,365255,100110,6015,4515,00010100,18535,2010,145
4620040.0,2.6328,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxxxxxxxxxx,xxx,xx,xx,xx,xx,xxxxxx,xx,xx,x
4620041.0,0.2622,1607,990,965,1070,535,-0.7,1130,150,45,485,1100,1510,155,330,145,10,185,1415,85,1385,180,30,70,90,55,905,26574,240,360,115,585,350,5,0,0,0,20,55,0,75,1315,175,575,108836,15,0,15,0,895,180,30101015,10253030,13010513575,1054514030,125409545,95356525,50152015151010155055,17511580,715195,355165,11025,2010,0100000,10035,3010,225
4620042.0,0.1049,877,555,530,600,280,5.3,630,90,20,195,670,830,40,160,40,0,115,765,45,700,170,10,45,110,130,400,33386,50,155,45,475,50,0,0,0,0,5,65,0,80,670,130,555,127678,0,0,0,0,570,50,551010,501010,55357550,75359020,60205015,40102515,302025102051555505,607055,310155,13580,6545,3010,000000,11030,200,290
4620043.0,0.4115,892,512,475,635,255,20.4,650,110,25,300,585,840,75,220,45,30,30,845,40,765,100,20,15,60,110,370,30361,55,165,85,445,20,15,0,0,0,0,45,0,100,725,50,567,107543,10,0,0,0,535,95,5555,10055,55456550,75209535,75206020,65154515,30525510151050000,1005080,305125,11575,9040,2010,000000,9030,1015,215
4620044.0,0.1362,2118,1243,1180,1255,865,5.2,1475,160,65,640,1425,1935,195,445,170,25,390,1690,145,1715,340,25,100,170,190,990,26245,245,460,70,1065,80,25,5,0,0,5,120,0,185,1565,300,502,146793,0,0,25,10,1090,190,30253525,25303050,145185185140,1357018550,1256012045,70405045,502530152525101555015,135110155,805260,230200,16085,4020,000000,18050,100,455
4620045.0,0.1175,1554,997,955,930,620,3.1,980,135,125,360,1155,1380,95,270,50,50,190,1325,135,1250,225,45,95,120,115,845,24489,180,245,125,770,170,0,5,0,0,0,85,0,100,1190,205,507,152945,10,15,0,0,815,145,105155,20102525,9010511080,1004012035,954510040,80304025,40302025203530552030510,11510090,670200,230145,13555,100,000000,8050,015,330
4620046.0,0.1604,1902,1161,1115,1140,765,9.2,1265,175,50,555,1335,1780,140,415,90,50,150,1750,110,1630,250,10,85,145,190,925,25783,165,430,160,915,0,185,0,10,0,0,130,0,120,1595,170,509,84713,10,0,0,0,1045,160,30403535,30303025,110125135105,1355017075,1456011045,80404530,253025252020515101055,150120115,650335,255170,17095,4035,0010000,11085,1015,360
4620047.0,0.1156,773,433,415,445,325,17.1,495,60,30,180,590,715,55,130,40,10,175,600,55,645,115,10,45,40,75,340,29948,110,95,60,410,0,0,0,0,0,0,50,0,15,650,95,553,112957,10,0,0,0,385,155,15101510,15102030,60654045,65406020,45254025,2510155,105551055150005,605570,200160,4090,6035,1515,000000,8540,100,100
4620048.0,0.1399,2134,1224,1185,1160,970,0.9,1455,160,60,665,1475,2000,200,460,155,40,230,1900,130,1855,240,45,115,200,130,1055,27789,145,435,160,1160,0,5,10,5,0,0,200,0,90,1850,155,528,129803,35,0,0,0,1340,160,40303025,25253035,160190250190,1559512070,95756560,65404030,3520202515301515510510,195110140,505485,230190,120140,7070,100101000,215165,1510,445
4620049.0,0.164,1438,837,800,770,665,9.9,895,110,125,345,955,1210,120,230,90,30,105,1210,105,1100,185,30,75,125,135,665,26939,60,260,60,765,0,10,10,0,0,10,85,0,45,1155,75,498,127766,35,0,0,0,730,75,20201520,10201015,859513585,90607045,75406030,55353025,40202030203025351535535,14014080,505210,120170,8565,2525,0010000,12035,015,285
4620050.0,0.0711,1329,757,730,700,630,3.3,745,130,115,315,895,1070,70,245,55,15,260,960,150,885,330,0,65,75,110,615,23683,50,210,75,495,225,0,5,0,0,0,100,0,100,870,250,481,126588,0,0,0,0,720,60,25202520,25302530,70709570,55407550,65404540,60352530,20252520252010251535530,1305590,410215,145140,9570,2010,0000150,11030,00,315
4620051.0,0.2168,1369,912,820,835,535,3.6,995,115,20,405,930,1210,140,270,80,60,175,1170,140,1015,260,65,70,105,140,675,25392,130,280,45,735,75,0,5,0,0,0,90,0,145,1005,140,569,170914,35,0,10,0,840,70,51555,20152035,12511514590,90459030,80306530,70303035,2520251515101505550,5585105,495235,125120,180130,150,000000,10035,100,420
4620052.0,0.1399,2003,1188,1145,1170,835,1.1,1275,165,110,450,1550,1895,170,285,115,50,335,1670,105,1645,330,30,100,155,150,1000,21667,170,285,160,675,435,5,0,10,0,5,155,0,170,1505,270,570,104433,35,0,25,0,910,140,30202525,20305035,12515516090,1055010040,904010040,85358050,60504535405030301525515,165105145,710280,165190,15575,2010,0100000,14540,1010,440
4620053.0,0.1028,1017,579,525,455,560,5.2,525,100,225,245,550,700,45,200,30,15,25,770,95,655,125,15,45,55,80,445,18628,90,125,25,225,300,0,0,5,0,0,30,0,20,700,55,639,127094,0,0,15,0,370,55,5000,510515,45405535,35204015,3552520,30252015,1530352030402555209025125,853575,44055,10555,7535,00,00100100,2515,010,180
4620054.0,0.1541,1212,553,515,725,485,1.6,705,140,110,,,,,,,,,,,,,,,,,,,,,,420,95,0,0,0,0,0,,,,,,,,,,,,,,101055,0550,40408560,75409015,95208035,50354525,401035251520303520351570,,,,,,,,,
4620055.01,0.7092,2618,1892,1565,1495,1120,17.4,1375,340,55,445,2065,2355,215,230,165,45,225,2320,185,1995,465,80,320,285,775,790,57038,160,360,90,910,615,5,0,5,0,0,75,0,480,1775,235,858,226334,35,0,20,0,1775,105,30303015,15102515,6565160145,185125175100,135100140110,155135140100,10070654540303020105510,8550165,1215275,115175,300120,1015,015100100,445225,2520,1430
4620055.02,1.3214,417,266,225,205,205,-5.7,115,60,25,55,365,375,35,20,0,35,45,375,40,315,80,20,90,45,160,65,135867,30,40,10,5,220,0,0,0,0,0,0,0,90,265,60,1316,391517,0,0,0,0,300,10,00010,5500,1051015,51055,15152025,35454025,2515151015151055050,202065,18540,1530,00,00,000000,12585,015,205
4620056.0,0.2881,1161,552,460,680,485,0.4,490,130,65,,,,,,,,,,,,,,,,,,,,,,45,395,10,5,0,0,5,,,,,,,,,,,,,,5151510,15153015,25254525,45256520,80357040,75405030,352040303045303020301020,,,,,,,,,
4620057.0,0.1447,879,263,250,440,440,16,345,80,215,55,355,360,30,25,0,25,315,100,55,150,250,10,35,10,25,220,12900,50,15,20,170,80,0,0,0,0,0,25,0,15,90,240,355,0,55,0,15,0,100,15,510105,100205,25153015,10202520,45103025,25202015,3015253025404040305535105,305020,19040,1015,350,00,000000,00,00,35
4620058.0,0.1523,944,641,555,550,400,8.9,515,95,110,335,540,675,170,165,90,85,355,530,210,500,240,145,85,35,75,480,17993,70,130,15,270,275,5,0,5,0,0,30,0,10,550,280,457,162399,10,0,15,10,370,80,5500,1051510,55757545,50155520,40154015,35253515,251535203025153520301525,702055,390145,5525,7065,00,000000,8035,100,270
4620059.0,0.2024,1284,774,710,725,560,11.2,820,100,30,350,925,1130,125,220,50,75,235,1050,155,875,325,80,95,115,190,520,37395,90,260,10,410,295,5,5,0,0,0,60,0,155,775,330,682,166424,20,0,10,0,810,60,20151510,552025,11510014585,85505530,50355540,55503530,15151510102051551005,4515110,520130,150115,16595,150,0150000,11540,010,605
4620060.0,0.0902,1724,790,775,770,955,3,465,220,125,180,1525,1670,0,175,0,0,990,730,50,895,825,0,200,20,25,750,14168,210,100,45,205,535,35,5,0,0,0,0,0,70,600,965,289,179809,15,60,15,10,205,185,55657585,85806560,45352025,15553550,55553555,55557070,5080406040601530515015,1856540,71065,5070,1520,00,000000,2515,00,90
4620061.0,0.2161,434,310,260,245,195,-5,290,50,5,65,365,415,30,35,30,0,85,355,15,345,85,10,25,30,85,175,27593,35,60,15,250,5,0,0,0,0,0,30,0,60,260,120,502,147312,0,0,0,0,260,30,55510,55510,30304030,35253015,20152015,2010105,555055550005,104545,17555,1020,5075,00,000000,4015,00,150
4620062.0,0.8296,293,195,120,175,115,-0.3,160,20,5,95,195,260,50,45,45,0,65,225,35,145,115,30,25,15,30,90,39366,10,20,0,15,80,0,0,0,0,25,10,0,115,95,75,1271,340532,0,0,0,0,155,15,10055,501010,3520255,515105,51055,1510205,5151010100000005,02045,9020,1010,5520,100,000000,1510,00,140
4620063.0,0.3618,354,258,185,160,190,-14.7,235,45,30,145,155,245,45,100,30,15,110,190,55,145,130,25,25,15,25,155,28820,25,45,0,110,0,5,0,5,0,70,30,0,110,85,100,546,524596,0,0,0,0,175,10,0055,5505,25353035,25152015,1510105,101555,10005550505030,301555,8070,2525,3535,00,000000,1510,00,120
4620064.0,0.2379,1279,670,540,700,580,16.1,740,65,10,,,,,,,,,,,,,,,,,,,,,,15,455,0,5,0,0,60,,,,,,,,,,,,,,30401520,20103530,13015012590,115706550,35252510,30252015,1510151010510100050,,,,,,,,,
4620065.01,0.1361,6095,4522,3985,3290,2805,4.2,3745,390,135,2265,3805,3440,1130,1135,345,785,3200,2900,2655,2025,2900,1175,635,190,120,3865,19963,550,900,230,380,3535,50,5,0,0,5,285,0,1320,1255,3290,616,135776,55,50,130,0,2675,470,80604035,4535210165,695660605510,465310245145,145125155155,155140125125,90858080656050602545525,205195900,2780920,515420,615405,250,0101501510,310110,010,2300
4620065.02,0.1475,2653,1913,1580,1325,1330,-2.3,1560,190,70,775,1850,1925,330,445,140,190,960,1695,725,1410,975,265,290,120,45,1535,21959,225,480,110,700,870,0,0,0,0,0,170,0,990,650,920,755,156420,40,45,10,10,1350,200,35402525,15256080,265270210170,14512513585,80706565,75807065,50553540354520401030525,85100375,1000415,265210,220230,1015,001001510,15570,1525,905
