GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5078: University certificate, diploma or degree at bachelor level or above","v_CA16_5123: University certificate, diploma or degree at bachelor level or above"
4620876.05,CT,Longueuil,4.73467,8512,3642,3575,6950,4630,1765,1460
4620876.06,CT,Longueuil,1.01279,5687,2558,2354,4585,3115,890,770
4620876.07,CT,Longueuil,1.00296,2257,854,844,1625,1085,375,340
4620877.01,CT,Longueuil,5.1002,9240,4072,3922,7125,4500,2855,2310
4620877.02,CT,Longueuil,1.48849,5978,2814,2707,4940,2960,1365,1065
4620878.00,CT,Longueuil,1.0956,4986,2764,2566,4105,2695,465,395
4620879.01,CT,Longueuil,0.62145,3159,1798,1689,2815,1915,375,325
4620879.02,CT,Longueuil,0.76723,3694,2045,1906,3205,2125,1095,850
4620880.00,CT,Longueuil,0.90335,3955,2228,2069,3405,2250,770,645
4620881.01,CT,Longueuil,0.53928,3477,1854,1745,3050,2130,580,520
4620881.02,CT,Longueuil,0.61157,3625,1930,1792,2975,2050,515,455
4620882.00,CT,Longueuil,0.69795,2612,1414,1321,2320,1655,380,340
4620883.00,CT,Longueuil,0.99476,2636,1450,1317,2090,1450,580,490
4620884.01,CT,Longueuil,0.71967,3404,2057,1769,3145,2080,1355,1115
4620884.02,CT,Longueuil,1.93101,7460,4349,4128,6195,3630,1925,1420
4620885.00,CT,Longueuil,1.62161,3869,1840,1708,2780,1785,945,740
4620886.01,CT,Longueuil,4.40536,3094,1540,1498,2730,1825,750,615
4620886.02,CT,Longueuil,2.11615,3051,1283,1260,2465,1780,950,810
4620886.03,CT,Longueuil,2.21544,3142,1524,1471,2555,1690,420,385
4620887.03,CT,Boucherville,11.4088,3599,1341,1329,2985,1840,1145,925
4620887.04,CT,Boucherville,1.95824,5112,2363,2322,4310,2565,1280,960
4620887.05,CT,Boucherville,1.98643,4697,1887,1879,3875,2360,1475,1110
4620887.06,CT,Boucherville,1.78229,4515,1692,1684,3805,2580,1565,1405
4620887.07,CT,Boucherville,9.9486,20,7,7,x,x,x,x
4620888.01,CT,Boucherville,30.30604,3114,1358,1312,2565,1935,985,865
4620888.02,CT,Boucherville,2.3713,5593,2040,2031,4365,2605,1745,1380
4620888.03,CT,Boucherville,2.13031,4558,1859,1826,3730,2175,1660,1315
4620889.01,CT,Boucherville,1.37737,2611,1311,1278,2005,1120,450,325
4620889.02,CT,Boucherville,3.9743,2859,1259,1246,2505,1555,745,585
4620889.03,CT,Boucherville,3.32007,4993,2017,1974,3900,2385,1070,860
4620900.00,CT,Beloeil,2.54403,4693,2123,2050,3855,2240,700,510
4620901.01,CT,Beloeil,2.50861,4919,2316,2263,4050,2515,675,505
4620901.02,CT,Beloeil,1.7746,4401,1798,1775,3685,2400,510,400
4620901.03,CT,Beloeil,18.66654,8445,3036,3010,6215,4530,1620,1430
4620902.00,CT,McMasterville,3.37403,5698,2332,2285,4325,3015,840,725
4620903.01,CT,Sainte-Julie,10.24844,7335,2893,2841,5510,3435,1765,1355
4620903.04,CT,Sainte-Julie,1.41835,4216,1637,1620,3405,2170,520,450
4620903.05,CT,Sainte-Julie,1.22902,3735,1423,1413,3075,2045,465,400
4620903.08,CT,Sainte-Julie,0.82597,2750,1038,1037,2190,1570,420,385
4620903.09,CT,Saint-Amable,13.91692,6067,2397,2351,4735,3560,385,355
4620903.10,CT,Saint-Amable,22.97295,6100,2275,2205,4620,3555,395,360
4620903.11,CT,Sainte-Julie,3.75731,3892,1281,1274,2980,2140,875,790
4620903.12,CT,Sainte-Julie,1.94057,5990,2157,2140,4680,3225,1290,1205
4620903.13,CT,Saint-Mathieu-de-Beloeil,39.4204,2619,997,972,2155,1480,375,310
4620903.14,CT,Sainte-Julie,29.42171,1963,767,751,1590,1105,235,215
4620904.02,CT,Varennes,17.15875,4964,2058,1988,3870,2620,765,670
4620904.03,CT,Varennes,73.55121,4821,1856,1830,3840,2655,880,800
4620904.04,CT,Varennes,1.37821,3517,1306,1287,2805,1930,515,445
4620904.05,CT,Varennes,1.33108,3744,1604,1585,3205,2090,470,395
4620904.06,CT,Varennes,1.16649,4211,1491,1471,3385,2470,700,640
4620926.01,CT,Richelieu,31.21171,5236,2247,2160,4045,2715,600,510
4620926.02,CT,Saint-Mathias-sur-Richelieu,50.08094,4531,1959,1910,3730,2515,410,315
4620929.01,CT,Otterburn Park,2.25973,3737,1571,1550,3175,1985,895,675
4620929.02,CT,Otterburn Park,3.45299,4684,1730,1705,3555,2575,805,730
4620930.02,CT,Mont-Saint-Hilaire,16.53971,9197,3976,3908,7230,4900,2080,1735
4620930.03,CT,Mont-Saint-Hilaire,7.4571,2605,980,962,2210,1370,775,600
4620930.04,CT,Mont-Saint-Hilaire,21.65104,6783,2746,2629,5435,3455,1805,1460
4621000.00,CT,L'Épiphanie,2.38176,5493,2240,2166,4165,2910,380,320
4621001.00,CT,L'Épiphanie,55.09067,3200,1324,1232,2605,1835,235,220
4621002.00,CT,Verchères,72.5656,5835,2440,2391,4590,3145,760,620
4621003.00,CT,Coteau-du-Lac,47.36942,7044,2743,2645,5435,3695,810,715
4621004.00,CT,Les Coteaux,11.73625,5368,2285,2200,4175,2885,425,370
4621005.00,CT,Saint-Zotique,25.10136,7934,3365,3223,6310,4330,680,565
4621006.00,CT,Saint-Lin--Laurentides,119.0693,20786,8376,8083,16165,11555,605,525
4622001.00,CT,Saint-Jean-sur-Richelieu,7.95779,8031,3072,3025,6145,4145,890,695
4622002.00,CT,Saint-Jean-sur-Richelieu,22.2573,417,169,165,410,275,40,40
4622003.00,CT,Saint-Jean-sur-Richelieu,1.96938,130,0,0,x,x,x,x
4622004.00,CT,Saint-Jean-sur-Richelieu,1.16778,3015,1631,1552,2580,1565,210,150
4622005.00,CT,Saint-Jean-sur-Richelieu,1.19809,3640,2014,1874,3120,1980,315,230
4622006.00,CT,Saint-Jean-sur-Richelieu,0.46074,0,0,0,x,x,x,x
4622007.00,CT,Saint-Jean-sur-Richelieu,0.4382,1349,850,686,975,665,110,70
4622008.00,CT,Saint-Jean-sur-Richelieu,0.50162,2430,1371,1273,2105,1475,135,105
4622009.00,CT,Saint-Jean-sur-Richelieu,1.88359,5350,2525,2478,4410,3110,410,330
4622010.00,CT,Saint-Jean-sur-Richelieu,3.57635,5,2,2,x,x,x,x
4622011.00,CT,Saint-Jean-sur-Richelieu,0.63763,2538,1351,1246,1780,1240,170,115
4622012.00,CT,Saint-Jean-sur-Richelieu,0.74867,1608,954,924,1410,785,145,120
4622013.00,CT,Saint-Jean-sur-Richelieu,1.76462,3942,1713,1693,3380,1960,565,375
4622014.00,CT,Saint-Jean-sur-Richelieu,1.5018,3827,1868,1850,2910,1480,435,295
4622015.00,CT,Saint-Jean-sur-Richelieu,1.27035,4637,3024,2925,4325,2295,320,210
4622100.00,CT,Saint-Jean-sur-Richelieu,9.51699,1984,701,701,1600,1100,215,180
4622101.00,CT,Saint-Jean-sur-Richelieu,7.84634,1033,396,390,835,575,100,75
4622102.00,CT,Saint-Jean-sur-Richelieu,48.62855,1054,402,399,900,670,135,105
4622103.00,CT,Saint-Jean-sur-Richelieu,3.65545,1672,716,709,1365,915,80,65
4622200.00,CT,Saint-Jean-sur-Richelieu,2.1802,5527,2143,2117,4430,3065,745,635
4622201.00,CT,Saint-Jean-sur-Richelieu,1.4721,4367,1646,1643,3550,2445,540,480
4622202.00,CT,Saint-Jean-sur-Richelieu,3.7067,7397,2809,2780,5810,4040,1210,1050
4622203.00,CT,Saint-Jean-sur-Richelieu,2.82604,3553,1331,1313,2915,2095,540,480
4622204.00,CT,Saint-Jean-sur-Richelieu,4.68221,822,329,320,675,505,80,70
4622205.00,CT,Saint-Jean-sur-Richelieu,3.37109,4132,1666,1645,3115,2160,690,565
4622206.00,CT,Saint-Jean-sur-Richelieu,26.70906,1956,744,724,1560,1090,300,255
4622207.00,CT,Saint-Jean-sur-Richelieu,7.10998,883,323,322,780,485,130,105
4622300.00,CT,Saint-Jean-sur-Richelieu,1.32798,2953,1303,1281,2335,1440,280,220
4622301.00,CT,Saint-Jean-sur-Richelieu,0.9023,3176,1568,1491,2510,1585,180,125
4622302.00,CT,Saint-Jean-sur-Richelieu,1.01203,2688,1208,1197,2175,1430,170,125
4622303.00,CT,Saint-Jean-sur-Richelieu,1.28024,0,0,0,x,x,x,x
4622304.00,CT,Saint-Jean-sur-Richelieu,0.70221,1094,445,443,890,600,190,135
4622400.00,CT,Saint-Jean-sur-Richelieu,46.45364,2729,1180,1132,2310,1510,195,140
4622401.00,CT,Saint-Jean-sur-Richelieu,4.43686,3691,1400,1381,2880,2065,335,295
4622402.00,CT,Saint-Jean-sur-Richelieu,2.78735,3484,1182,1162,2510,1855,545,480
